"wielkosc","iloczyn_skalarny","mnozenie_macierzy"
1,0.000680601,2.3e-6
1,2.01e-7,2.0e-7
1,2.0e-7,1.99e-7
1,9.9e-8,2.01e-7
1,1.0e-7,1.99e-7
1,1.99e-7,2.0e-7
1,1.01e-7,1.99e-7
1,1.0e-7,2.01e-7
1,9.9e-8,1.99e-7
1,2.01e-7,2.01e-7
2,9.0e-7,2.4e-6
2,2.01e-7,2.01e-7
2,1.0e-7,1.99e-7
2,9.9e-8,1.0e-7
2,2.01e-7,2.0e-7
2,1.99e-7,2.0e-7
2,2.01e-7,1.99e-7
2,9.9e-8,2.01e-7
2,2.01e-7,9.9e-8
2,1.0e-7,1.01e-7
3,8.0e-7,3.0e-6
3,2.01e-7,2.99e-7
3,1.0e-7,3.01e-7
3,1.01e-7,3.0e-7
3,2.0e-7,4.599e-6
3,1.0e-7,2.0e-7
3,1.01e-7,3.0e-7
3,1.0e-7,2.0e-7
3,9.9e-8,2.01e-7
3,2.01e-7,2.99e-7
4,8.99e-7,3.1e-6
4,2.0e-7,4.0e-7
4,2.0e-7,3.0e-7
4,2.0e-7,4.0e-7
4,2.0e-7,4.0e-7
4,1.99e-7,2.99e-7
4,1.01e-7,4.01e-7
4,1.0e-7,4.0e-7
4,1.0e-7,4.0e-7
4,1.0e-7,4.0e-7
5,6.99e-7,2.8e-6
5,7.0e-7,4.01e-7
5,1.0e-7,3.01e-7
5,2.01e-7,4.01e-7
5,1.0e-7,4.0e-7
5,2.01e-7,4.0e-7
5,2.0e-7,1.4199e-5
5,3.0e-7,4.0e-7
5,2.0e-7,3.99e-7
5,2.01e-7,4.01e-7
6,8.0e-7,3.5e-6
6,2.99e-7,6.0e-7
6,3.01e-7,4.599e-6
6,3.0e-7,5.0e-7
6,2.0e-7,8.99e-7
6,3.0e-7,7.01e-7
6,2.0e-7,5.0e-7
6,3.0e-7,4.99e-7
6,2.0e-7,5.0e-7
6,3.0e-7,5.0e-7
7,7.0e-7,3.499e-6
7,3.01e-7,6.0e-7
7,3.0e-7,6.0e-7
7,2.99e-7,6.01e-7
7,2.01e-7,8.0e-7
7,2.01e-7,6.499e-6
7,2.0e-7,1.101e-6
7,4.01e-7,7.99e-7
7,2.0e-7,6.01e-7
7,6.0e-7,6.0e-7
8,1.0e-6,3.3e-6
8,4.0e-7,8.901e-6
8,2.0e-7,8.0e-7
8,2.01e-7,7.99e-7
8,2.99e-7,7.01e-7
8,3.01e-7,6.99e-7
8,3.0e-7,7.01e-7
8,2.99e-7,7.0e-7
8,3.01e-7,1.7e-6
8,2.99e-7,7.0e-7
9,8.01e-7,3.4e-6
9,3.0e-7,1.0e-6
9,2.99e-7,9.0e-7
9,2.01e-7,8.01e-7
9,2.99e-7,9.901e-6
9,3.01e-7,8.01e-7
9,2.0e-7,8.0e-7
9,2.0e-7,9.0e-7
9,3.0e-7,9.0e-7
9,2.0e-7,7.99e-7
10,1.099e-6,8.499e-6
10,3.99e-7,1.1e-6
10,4.0e-7,9.99e-7
10,3.01e-7,1.001e-6
10,2.0e-7,4.3e-6
10,3.099e-6,1.14e-5
10,3.01e-7,1.099e-6
10,1.99e-7,1.1e-6
10,2.0e-7,1.0e-6
10,2.01e-7,1.8e-6
11,1.399e-6,8.3e-6
11,2.99e-7,2.4e-6
11,3.01e-7,1.301e-6
11,3.0e-7,5.2e-6
11,1.99e-7,2.101e-6
11,2.99e-7,1.2e-6
11,3.01e-7,1.201e-6
11,2.99e-7,1.3e-6
11,3.601e-6,1.02e-5
11,3.0e-7,1.3e-6
12,8.0e-7,9.0e-6
12,4.0e-7,1.5e-6
12,2.99e-7,5.901e-6
12,4.0e-7,0.000389
12,3.01e-7,1.9e-6
12,4.0e-7,3.001e-6
12,2.99e-7,1.6e-6
12,3.99e-7,3.8e-6
12,3.01e-7,2.199e-6
12,4.01e-7,1.4e-6
13,1.4e-6,8.901e-6
13,5.01e-7,1.7e-6
13,3.0e-7,4.9e-6
13,3.01e-7,2.499e-6
13,3.0e-7,1.701e-6
13,2.99e-7,1.699e-6
13,3.01e-7,2.4e-6
13,3.01e-7,1.699e-6
13,4.0e-7,3.701e-6
13,3.01e-7,1.3601e-5
14,1.099e-6,9.2e-6
14,3.0e-7,2.4e-6
14,4.0e-7,2.001e-6
14,3.99e-7,1.39e-5
14,3.99e-7,2.0e-6
14,4.0e-7,2.699e-6
14,3.001e-6,1.9e-6
14,3.0e-7,2.699e-6
14,3.01e-7,3.201e-6
14,4.0e-7,2.7e-6
15,1.2e-6,5.2e-6
15,4.0e-7,7.099e-6
15,4.01e-7,5.999e-6
15,4.0e-7,3.001e-6
15,3.0e-7,2.2e-6
15,2.99e-7,1.0901e-5
15,4.0e-7,4.3e-6
15,4.01e-7,3.399e-6
15,3.0e-7,2.201e-6
15,3.0e-7,2.9e-6
16,7.01e-7,1.15e-5
16,8.0e-7,4.8e-6
16,3.0e-7,2.499e-6
16,2.99e-7,2.5e-6
16,3.99e-7,4.0e-6
16,4.0e-7,2.6e-6
16,4.01e-7,2.699e-6
16,4.0e-7,2.401e-6
16,8.0e-7,3.699e-6
16,3.99e-7,2.4e-6
17,1.1e-6,7.899e-6
17,4.01e-7,7.201e-6
17,4.0e-7,2.799e-6
17,4.0e-7,2.701e-6
17,3.0e-7,3.999e-6
17,8.0e-7,2.701e-6
17,4.0e-7,2.601e-6
17,3.99e-7,3.4e-6
17,3.8e-6,3.8e-6
17,4.0e-7,2.901e-6
18,9.0e-7,7.2e-6
18,4.0e-7,6.499e-6
18,3.99e-7,3.101e-6
18,3.99e-7,3.0e-6
18,5.01e-7,4.901e-6
18,3.99e-7,3.0e-6
18,4.01e-7,2.999e-6
18,4.0e-7,4.3e-6
18,4.01e-7,3.001e-6
18,4.0e-7,3.0e-6
19,1.2e-6,1.08e-5
19,5.0e-7,4.099e-6
19,4.0e-7,4.701e-6
19,5.0e-7,3.499e-6
19,4.0e-7,3.5e-6
19,6.0e-7,5.499e-6
19,5.99e-7,3.901e-6
19,6.01e-7,3.3e-6
19,6.99e-7,4.5e-6
19,8.01e-7,3.3e-6
20,9.0e-7,1.12e-5
20,5.0e-7,3.9e-6
20,5.99e-7,5.601e-6
20,4.01e-7,3.601e-6
20,5.0e-7,3.7e-6
20,3.501e-6,4.899e-6
20,2.5e-6,3.8e-6
20,9.0e-7,5.001e-6
20,9.01e-7,3.9e-6
20,9.0e-7,3.999e-6
21,8.0e-7,1.19e-5
21,1.1199e-5,8.899e-6
21,4.0e-7,6.2e-6
21,3.99e-7,4.501e-6
21,3.99e-7,6.599e-6
21,5.0e-7,4.001e-6
21,5.0e-7,5.2e-6
21,4.0e-7,4.099e-6
21,3.99e-7,5.101e-6
21,1.4e-6,5.0e-6
22,8.99e-7,1.35e-5
22,6.0e-7,4.401e-6
22,5.0e-7,5.6e-6
22,5.0e-7,4.4e-6
22,5.0e-7,5.6e-6
22,5.0e-7,4.499e-6
22,5.0e-7,1.87e-5
22,3.501e-6,4.7e-6
22,2.599e-6,6.401e-6
22,5.0e-7,4.4e-6
23,1.3e-6,1.4499e-5
23,5.0e-7,5.3e-6
23,5.0e-7,6.901e-6
23,6.8e-6,5.2e-6
23,5.0e-7,1.1e-5
23,5.0e-7,5.1e-6
23,5.0e-7,6.8e-6
23,4.0e-7,6.0e-6
23,4.0e-7,5.1e-6
23,4.0e-7,6.1e-6
24,1.101e-6,1.12e-5
24,3.4e-6,8.399e-6
24,5.99e-7,1.6701e-5
24,5.0e-7,7.5e-6
24,5.0e-7,6.499e-6
24,5.0e-7,5.801e-6
24,5.0e-7,6.9e-6
24,5.0e-7,5.2e-6
24,1.5e-6,6.2e-6
24,5.0e-7,8.699e-6
25,3.9e-6,1.2e-5
25,6.0e-7,9.1e-6
25,6.99e-7,7.299e-6
25,7.01e-7,6.801e-6
25,5.0e-7,6.7e-6
25,5.0e-7,8.7e-6
25,5.0e-7,7.4e-6
25,5.0e-7,6.8e-6
25,4.99e-7,5.7e-6
25,5.0e-7,6.6e-6
26,3.099e-6,1.37e-5
26,2.1e-6,5.9e-6
26,1.301e-6,8.199e-6
26,2.001e-6,7.0e-6
26,1.799e-6,6.9e-6
26,1.6e-6,5.8e-6
26,1.8e-6,7.0e-6
26,1.299e-6,1.25e-5
26,2.1e-6,5.9e-6
26,6.299e-6,7.2e-6
27,1.699e-6,1.54e-5
27,6.0e-7,8.001e-6
27,5.0e-7,6.401e-6
27,5.0e-7,8.6e-6
27,6.01e-7,7.799e-6
27,6.0e-7,8.301e-6
27,5.0e-7,6.399e-6
27,4.99e-7,7.7e-6
27,6.01e-7,8.201e-6
27,8.99e-7,7.6e-6
28,1.2e-6,1.23e-5
28,5.0e-7,1.0199e-5
28,4.99e-7,8.7e-6
28,5.0e-7,8.8e-6
28,6.01e-7,8.301e-6
28,6.0e-7,7.2e-6
28,6.99e-7,7.7e-6
28,9.0e-7,7.9e-6
28,2.601e-6,8.6e-6
28,6.0e-7,8.299e-6
29,9.501e-6,2.82e-5
29,6.0e-7,7.401e-6
29,5.99e-7,8.6e-6
29,5.0e-7,9.1e-6
29,6.0e-7,8.401e-6
29,5.0e-7,8.6e-6
29,1.9e-6,1.0e-5
29,6.01e-7,9.299e-6
29,6.0e-7,8.701e-6
29,4.99e-7,7.2e-6
30,1.1e-6,2.3299e-5
30,8.01e-7,1.16e-5
30,3.9e-6,1.29e-5
30,5.0e-7,9.4e-6
30,6.0e-7,9.5e-6
30,2.9e-6,8.799e-6
30,5.99e-7,9.601e-6
30,6.01e-7,9.2e-6
30,1.799e-6,1.05e-5
30,5.0e-7,9.0e-6
31,2.7e-6,1.72e-5
31,2.0e-6,9.9e-6
31,2.001e-6,9.501e-6
31,1.9e-6,1.0e-5
31,9.0e-6,2.1599e-5
31,6.99e-7,9.401e-6
31,6.0e-7,9.201e-6
31,6.0e-7,9.899e-6
31,5.99e-7,9.201e-6
31,6.01e-7,9.5e-6
32,3.601e-6,2.23e-5
32,3.201e-6,1.1199e-5
32,5.99e-7,9.801e-6
32,6.0e-7,9.6e-6
32,6.0e-7,9.699e-6
32,6.01e-7,1.0601e-5
32,1.9e-6,1.09e-5
32,6.0e-7,1.0799e-5
32,5.99e-7,9.901e-6
32,6.01e-7,1.03e-5
33,1.699e-6,1.72e-5
33,2.599e-6,1.0299e-5
33,1.701e-6,1.0201e-5
33,2.0e-6,1.2e-5
33,1.799e-6,1.03e-5
33,1.801e-6,1.07e-5
33,3.6e-6,1.08e-5
33,6.4e-6,1.01e-5
33,2.4e-6,2.54e-5
33,3.3e-6,1.02e-5
34,1.5e-6,1.75e-5
34,8.0e-7,1.1101e-5
34,6.99e-7,1.0799e-5
34,6.01e-7,1.1401e-5
34,6.99e-7,1.0801e-5
34,6.0e-7,1.0699e-5
34,6.0e-7,1.25e-5
34,6.99e-7,1.1e-5
34,7.01e-7,1.0799e-5
34,6.99e-7,1.0801e-5
35,1.2e-6,1.4599e-5
35,2.6e-6,1.2601e-5
35,5.99e-7,1.15e-5
35,7.01e-7,1.1999e-5
35,6.99e-7,1.1301e-5
35,7.01e-7,1.23e-5
35,6.99e-7,1.21e-5
35,8.01e-7,1.13e-5
35,9.01e-7,1.24e-5
35,7.0e-7,2.04e-5
36,1.4e-6,1.4601e-5
36,7.01e-7,1.2e-5
36,7.0e-7,1.36e-5
36,7.01e-7,1.1799e-5
36,9.0e-7,1.19e-5
36,2.8e-6,1.5999e-5
36,7.0e-7,1.25e-5
36,9.01e-7,1.2001e-5
36,8.0e-7,1.35e-5
36,6.99e-7,1.22e-5
37,1.5e-6,1.76e-5
37,8.01e-7,1.4401e-5
37,8.0e-7,1.27e-5
37,7.99e-7,1.42e-5
37,1.0e-6,1.26e-5
37,7.0e-7,1.38e-5
37,7.0e-7,1.42e-5
37,7.0e-7,1.2401e-5
37,7.0e-7,1.34e-5
37,3.1e-6,1.3299e-5
38,1.599e-6,2.1899e-5
38,6.99e-7,1.34e-5
38,7.0e-7,1.48e-5
38,6.99e-7,1.3099e-5
38,7.0e-7,1.4601e-5
38,8.0e-7,1.43e-5
38,1.0e-6,1.3e-5
38,8.0e-7,1.46e-5
38,7.0e-7,1.3e-5
38,8.0e-7,1.39e-5
39,1.8e-6,2.87e-5
39,9.01e-7,1.53e-5
39,4.8e-6,1.5601e-5
39,7.01e-7,1.42e-5
39,7.0e-7,1.53e-5
39,7.0e-7,1.6999e-5
39,7.0e-7,1.59e-5
39,6.99e-7,2.5499e-5
39,7.01e-7,1.5599e-5
39,8.0e-7,1.4199e-5
40,2.3e-6,3.7e-5
40,8.0e-7,1.5899e-5
40,1.099e-6,1.4501e-5
40,1.0e-6,1.5999e-5
40,1.001e-6,1.5401e-5
40,3.1e-6,1.63e-5
40,7.01e-7,1.5599e-5
40,7.99e-7,1.5901e-5
40,7.01e-7,1.47e-5
40,8.0e-7,1.53e-5
41,1.9e-6,3.3099e-5
41,9.0e-7,1.58e-5
41,8.99e-7,1.73e-5
41,4.001e-6,1.6e-5
41,8.0e-7,1.53e-5
41,7.0e-7,1.81e-5
41,7.01e-7,1.62e-5
41,3.099e-6,1.7e-5
41,1.6e-6,1.48e-5
41,8.0e-7,1.84e-5
42,2.001e-6,2.39e-5
42,9.0e-7,1.78e-5
42,8.5e-6,1.5901e-5
42,8.0e-7,1.73e-5
42,7.99e-7,2.93e-5
42,8.01e-7,1.79e-5
42,8.0e-7,1.6999e-5
42,1.9e-6,1.58e-5
42,7.99e-7,1.86e-5
42,3.3e-6,1.72e-5
43,1.3e-6,2.58e-5
43,2.4e-6,1.77e-5
43,8.0e-7,1.82e-5
43,9.0e-7,2.29e-5
43,7.99e-7,1.71e-5
43,7.99e-7,1.77e-5
43,1.601e-6,1.81e-5
43,7.99e-7,1.8799e-5
43,8.01e-7,1.86e-5
43,8.0e-7,1.7401e-5
44,6.901e-6,2.69e-5
44,3.899e-6,1.8401e-5
44,8.01e-7,3.24e-5
44,8.0e-7,1.8299e-5
44,8.0e-7,1.8801e-5
44,4.599e-6,1.84e-5
44,2.3e-6,2.0699e-5
44,2.4e-6,1.8499e-5
44,3.6e-6,1.8701e-5
44,2.8e-6,1.82e-5
45,1.701e-6,2.6401e-5
45,9.0e-7,2.49e-5
45,3.2e-6,1.99e-5
45,7.99e-7,1.91e-5
45,3.901e-6,1.95e-5
45,8.0e-7,2.03e-5
45,8.99e-7,1.96e-5
45,9.0e-7,1.8801e-5
45,5.101e-6,1.96e-5
45,8.0e-7,1.9299e-5
46,6.299e-6,4.0899e-5
46,4.3e-6,2.05e-5
46,4.3e-6,1.9901e-5
46,1.9901e-5,2.03e-5
46,4.2e-6,2.2e-5
46,4.3e-6,2.0699e-5
46,4.101e-6,1.9901e-5
46,7.501e-6,2.14e-5
46,4.101e-6,1.96e-5
46,4.1e-6,2.15e-5
47,1.601e-6,2.94e-5
47,9.0e-7,2.8e-5
47,2.999e-6,2.2101e-5
47,9.01e-7,2.04e-5
47,2.9e-6,2.16e-5
47,8.01e-7,2.25e-5
47,1.601e-6,2.3601e-5
47,7.99e-7,2.16e-5
47,7.99e-7,2.1201e-5
47,9.0e-7,2.17e-5
48,7.6e-6,4.3801e-5
48,1.2e-6,2.2301e-5
48,9.0e-7,2.1099e-5
48,8.99e-7,2.2701e-5
48,9.0e-7,2.2299e-5
48,1.8999e-5,2.31e-5
48,9.01e-7,2.1901e-5
48,9.0e-7,2.11e-5
48,9.01e-7,0.0003273
48,1.9e-6,3.64e-5
49,3.599e-6,5.1899e-5
49,1.1e-6,3.2299e-5
49,9.0e-7,3.1401e-5
49,5.7e-6,3.0001e-5
49,9.0e-7,2.8801e-5
49,4.099e-6,3.07e-5
49,8.99e-7,3.46e-5
49,2.701e-6,2.8401e-5
49,9.0e-7,3.06e-5
49,9.0e-7,2.8901e-5
