"wielkosc","mnożenie_naiwne","mnożenie_ulepszone","mnożenie_BLAS"
1,0.000001,0.000001,0.000003
1,0.000001,0.000002,0.000001
1,0.000001,0.000001,0.000001
1,0.000000,0.000000,0.000000
1,0.000001,0.000001,0.000001
1,0.000000,0.000000,0.000000
1,0.000001,0.000000,0.000000
1,0.000001,0.000001,0.000001
1,0.000000,0.000000,0.000000
1,0.000001,0.000001,0.000001
2,0.000001,0.000001,0.000001
2,0.000001,0.000001,0.000001
2,0.000000,0.000000,0.000000
2,0.000001,0.000000,0.000000
2,0.000001,0.000001,0.000001
2,0.000000,0.000000,0.000000
2,0.000001,0.000001,0.000001
2,0.000000,0.000000,0.000000
2,0.000001,0.000001,0.000000
2,0.000000,0.000001,0.000001
3,0.000001,0.000000,0.000000
3,0.000000,0.000000,0.000000
3,0.000001,0.000001,0.000001
3,0.000003,0.000001,0.000001
3,0.000000,0.000000,0.000000
3,0.000001,0.000001,0.000001
3,0.000000,0.000000,0.000000
3,0.000001,0.000001,0.000001
3,0.000000,0.000000,0.000000
3,0.000001,0.000001,0.000001
4,0.000000,0.000001,0.000001
4,0.000001,0.000001,0.000001
4,0.000001,0.000001,0.000000
4,0.000001,0.000000,0.000000
4,0.000001,0.000001,0.000000
4,0.000001,0.000001,0.000001
4,0.000000,0.000000,0.000000
4,0.000001,0.000001,0.000001
4,0.000001,0.000001,0.000001
4,0.000000,0.000000,0.000000
5,0.000001,0.000001,0.000000
5,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
5,0.000001,0.000001,0.000001
5,0.000001,0.000001,0.000001
5,0.000001,0.000001,0.000001
5,0.000000,0.000000,0.000000
5,0.000001,0.000001,0.000000
5,0.000001,0.000001,0.000001
5,0.000001,0.000001,0.000001
6,0.000001,0.000001,0.000001
6,0.000001,0.000000,0.000001
6,0.000000,0.000000,0.000001
6,0.000000,0.000000,0.000001
6,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
6,0.000001,0.000001,0.000000
6,0.000001,0.000001,0.000001
6,0.000001,0.000001,0.000001
6,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000003
7,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000000
